DATETIME,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,RH
2022-01-01,15.277777777777779,11.11111111111111,102.4,2.2600000000000002,9.8149,3.08664,3.8068560000000002,7.6137120000000005,20.0,12.5,0.0,,76.17821838891169
2022-01-02,16.0,12.000000000000002,102.17999999999999,2.04,8.2059,2.2120919999999997,3.189528,7.407936,21.38888888888889,12.388888888888888,0.0,,77.13773343359787
2022-01-03,18.055555555555557,15.222222222222221,101.96000000000001,1.8199999999999998,8.3668,2.2120919999999997,3.8068560000000002,7.870932000000001,23.22222222222222,12.388888888888888,0.0,,83.5144501504016
2022-01-04,18.722222222222225,16.88888888888889,101.78,1.64,5.4706,1.851984,3.189528,7.7166,23.22222222222222,13.611111111111112,0.0,,89.08961593478205
2022-01-05,19.61111111111111,17.38888888888889,101.67,1.53,7.4014,2.006316,4.37274,7.20216,24.277777777777782,15.388888888888891,0.0,,86.99733854648139
2022-01-06,20.72222222222222,17.333333333333336,101.88,1.7399999999999998,5.7924,2.3149800000000003,2.983752,6.790608,24.277777777777782,15.722222222222221,0.0,,80.93101328401713
2022-01-07,19.000000000000004,14.61111111111111,102.03,1.89,6.918699999999999,2.469312,4.321296,7.870932000000001,24.277777777777782,16.222222222222225,0.0,,75.67585828016463
2022-01-08,16.833333333333332,12.277777777777779,101.89,1.75,8.688600000000001,2.82942,4.012632,8.179596,23.88888888888889,12.5,0.0,,74.50054734791475
2022-01-09,12.722222222222221,10.222222222222221,101.74,1.6,13.0329,3.395304,4.990068,8.48826,22.11111111111111,11.88888888888889,0.0,,84.75014366765537
2022-01-10,14.722222222222223,11.833333333333332,101.81,1.67,16.4118,4.218407999999999,6.018948,11.677788,20.27777777777778,11.88888888888889,0.0,,82.81811378724426
2022-01-11,14.27777777777778,8.777777777777777,102.06,1.92,22.3651,2.880864,4.218407999999999,11.677788,20.27777777777778,11.88888888888889,0.0,,69.49655340804804
2022-01-12,14.888888888888888,11.77777777777778,102.06,1.92,6.2751,2.263536,2.7779760000000002,5.40162,17.11111111111111,12.000000000000002,0.000254,,81.63285409986116
2022-01-13,13.88888888888889,12.000000000000002,102.12,1.98,5.9533000000000005,2.1092039999999996,3.8068560000000002,7.407936,17.11111111111111,12.388888888888888,0.0,,88.3747659940016
2022-01-14,17.555555555555557,14.555555555555557,101.81,1.67,4.827,2.2120919999999997,3.2924160000000002,6.5848320000000005,19.000000000000004,12.388888888888888,0.0,,82.56315526793372
2022-01-15,20.388888888888893,18.61111111111111,101.78,1.64,6.2751,2.7265319999999997,3.8068560000000002,8.282484,23.277777777777782,14.222222222222223,0.0,,89.53078933798194
2022-01-16,16.944444444444446,14.500000000000002,101.91,1.77,13.837399999999999,4.012632,5.40162,10.494575999999999,25.72222222222222,12.222222222222223,0.000254,,85.51110118284672
2022-01-17,11.333333333333334,10.5,102.17999999999999,2.04,15.607299999999999,4.5785160000000005,6.070392000000001,10.906127999999999,25.72222222222222,10.88888888888889,0.007112,,94.61121143020922
2022-01-18,12.777777777777779,9.944444444444445,102.15,2.0100000000000002,18.1817,2.983752,4.218407999999999,9.877248,17.5,8.61111111111111,0.000508,,82.88722171201995
2022-01-19,13.722222222222225,10.444444444444443,101.87,1.72,15.607299999999999,1.697652,3.498192,6.893496000000001,19.72222222222222,8.499999999999998,0.0,,80.58097994734324
